Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
DE,F1,0.2,66133.89,65202.29,64654.04,62896.97,61410.45,59492.89,56330.4,55572.57,53228.4,51882.64,49135.06,47199.98,44200.98,42979.75,41123.06,39191.67,37308.63,34980.11,33727.57,32469.6,31502.04,31056.41,30412.15,28705.22,27513.34,25968.65,25151.3,23985.23,23047.95,21356.86,20494.19,19726.26,19126.71,18302.88,17367.69,16881.58,15872.19,15002.38,14331.17,13523.44,13401.5,12947.66,12028.42,11622.69,11400.07,10928.03,10623.41,10390.02,9817.23,9541.42,9168.02,8835.05,8439.34,8266.3,7890.6,7512.83,7280.61,6914.66,6639.1,6432.89,6269.05,6012.92,5860.36,5691.77,5418.93,5243.33,5003.3,4683.76,4460.42,4335.94,4154.79,4029.4,3844.59,3724.21,3650.5,3335.93,3254.92,3195.32,3115.56,3052.87,2941.4,2840.78,2780.85,2692.54,2585.42,2508.55,2378.95,2327.6,2239.38,2145.06,2024.78,1879.27,1793.11,1705.65,1655.14,1586.54,1528.0,1497.55,1449.61,1394.18
DE,F2,0.22,1179967500784.02,846089912936.93,357083365005.51,101985727724.21,82693971301.09,24296213639.67,3259884390.95,1661502958.37,1505618612.16,182214020.37,60527942.48,55568164.3,4584287.88,2163586.23,1415714.83,1030187.57,632819.64,632631.36,145740.29,41837.34,17928.29,11300.71,7640.33,943.26,477.35,430.13,113.2,96.41,89.73,83.75,82.45,79.84,76.34,71.9,70.36,68.67,67.45,63.64,62.76,60.95,58.92,58.11,57.47,56.13,54.63,53.61,52.63,51.5,50.65,49.43,48.77,48.0,47.09,46.65,45.61,43.74,43.31,41.94,41.21,39.83,39.18,38.52,38.05,37.01,36.34,35.44,34.89,34.18,33.23,32.68,32.05,31.53,30.43,29.87,29.49,28.73,28.37,27.59,27.04,26.48,25.85,25.05,24.09,23.5,23.16,22.21,21.82,21.3,20.76,20.23,19.65,19.51,19.18,18.84,18.42,18.13,17.72,17.23,17.01,16.41
DE,F3,0.56,118689.38,108100.89,103253.65,101222.83,100034.43,95616.91,93067.67,90811.42,90245.26,90245.26,85733.13,84955.81,83245.66,82820.98,82194.08,81241.94,81179.83,80439.91,79668.02,79151.97,78532.91,78272.45,77871.44,77004.08,75860.34,75137.61,74755.42,74034.92,73356.13,73356.13,73280.07,73110.66,72641.9,72234.6,71367.62,71367.62,70924.1,69584.82,69327.44,68931.49,68208.33,67536.4,65885.03,65595.67,65595.67,65364.78,65287.86,65148.71,64622.63,64490.18,63689.02,63689.02,63650.16,63650.16,63650.16,62629.76,62615.62,61946.46,60936.34,60169.44,59714.13,59210.97,59210.97,59121.57,59081.09,58558.71,57563.09,57563.09,57563.09,57468.29,57377.86,57377.86,57253.2,56516.23,56516.23,55952.73,55952.73,55952.73,55629.63,55629.63,55629.63,55544.39,55544.39,55544.39,55477.41,55186.45,54958.67,54531.47,54417.07,54417.07,54417.07,54198.42,54198.42,54198.42,54135.92,54135.92,53897.52,53897.52,53897.52,53894.61
DE,F4,0.2,87.79,87.75,87.65,87.53,87.31,87.09,86.92,86.91,86.59,86.24,85.6,85.39,85.22,84.98,84.68,84.68,84.39,84.16,83.45,83.29,83.29,83.24,82.92,82.51,81.66,80.79,80.44,80.28,80.22,79.84,79.69,79.23,79.17,79.08,78.91,78.86,78.74,78.21,78.09,78.06,78.06,77.93,77.42,76.87,76.87,76.42,76.41,76.04,76.0,75.95,75.4,74.56,74.56,74.53,73.96,73.95,73.83,73.8,73.76,73.54,73.11,72.75,72.26,72.17,71.96,71.77,71.77,71.51,71.45,70.99,70.94,70.78,70.66,70.66,70.32,70.18,69.9,69.72,69.69,69.49,69.49,69.12,68.97,68.84,68.84,68.67,68.23,67.51,66.83,66.59,66.42,66.09,65.83,65.8,65.75,65.53,65.22,64.61,64.41,64.16
DE,F5,0.22,245642309.67,239920240.35,232433264.33,222370267.17,214347025.28,208774900.14,198474834.71,188211089.56,178212864.11,171719879.07,158443502.16,148787659.26,132850352.98,128900838.33,119727237.01,114378404.79,107204675.15,98756197.1,89473214.44,86811852.86,83767700.89,74117169.62,69855201.58,63232050.99,58286612.34,54992143.59,51551927.07,48992374.18,45001501.85,40637505.26,38193506.5,37440333.58,33367880.72,31895911.85,29781969.04,27100152.52,25592893.62,24564474.94,23602436.97,22153413.63,21255196.1,20263347.77,18513940.52,17231851.09,16768819.72,16139725.98,14201878.04,13331605.8,12454657.79,11813571.11,10828869.6,10553478.24,9663432.42,9434237.81,8678164.94,8358217.19,8041428.84,7570766.86,7082476.55,6712701.16,6149882.54,5916960.7,5641280.46,5413157.27,5162814.41,4752559.11,4311813.63,4030984.9,3781400.08,3597360.53,3315394.92,3151211.79,2833103.81,2765126.14,2618704.6,2415642.94,2403446.5,2269671.62,2174927.23,2087869.7,1902719.79,1816310.52,1667955.18,1557455.14,1451233.25,1345947.27,1292256.89,1210503.18,1138745.37,1078222.32,998964.86,951743.33,899663.62,875221.14,864642.75,818250.73,774229.29,712311.67,617883.26,576914.05
DE,F6,0.2,66528.05,66080.6,64944.39,64542.61,62453.16,59557.62,57480.65,54741.16,52755.86,52046.47,48716.92,47013.93,43824.13,42113.91,40895.17,39754.89,38316.09,36125.43,35720.58,34118.31,32849.24,31889.64,30868.64,29049.3,27656.28,26546.45,24862.43,23746.85,22695.15,21919.53,21004.67,19721.62,19318.06,18518.08,18075.75,17530.81,16951.46,16164.07,15789.07,15039.5,14280.22,13923.11,13249.74,12549.66,12311.21,11970.53,11469.98,10912.66,10516.38,10202.87,9811.06,9428.83,8978.03,8450.01,8113.42,7782.63,7568.34,7180.07,7077.58,6816.75,6318.66,6058.74,5889.7,5819.43,5601.45,5432.7,5202.6,5007.07,4708.56,4588.84,4360.62,4235.3,4040.89,3844.24,3723.96,3477.38,3349.47,3267.7,3166.55,3039.41,2929.42,2832.84,2794.49,2663.36,2580.45,2492.14,2299.74,2213.61,2082.7,1997.04,1923.85,1884.98,1833.4,1781.05,1653.52,1543.86,1482.33,1439.73,1381.82,1347.62
DE,F7,0.23,121.14,118.74,113.66,109.13,99.18,93.77,89.2,86.53,82.9,78.53,72.58,65.74,60.42,57.05,51.44,49.4,44.42,42.93,41.5,38.43,37.06,36.03,34.73,31.31,29.65,28.35,25.16,22.83,20.83,18.88,17.99,17.32,16.79,15.75,14.58,14.21,13.48,12.13,11.43,11.06,10.78,10.01,9.44,8.53,8.09,7.56,7.13,6.7,6.22,5.93,5.58,5.15,4.76,4.65,4.18,3.77,3.6,3.54,3.46,3.29,3.21,3.11,3.0,2.92,2.71,2.54,2.41,2.26,2.07,1.96,1.89,1.85,1.81,1.73,1.66,1.64,1.57,1.49,1.42,1.36,1.31,1.24,1.18,1.16,1.11,1.04,1.02,1.01,0.97,0.95,0.94,0.89,0.87,0.86,0.82,0.78,0.74,0.74,0.72,0.68
DE,F8,0.32,-2503.63,-2569.38,-2669.42,-2722.94,-2773.47,-2861.67,-2937.19,-3027.18,-3170.31,-3298.91,-3387.97,-3495.26,-3589.59,-3632.65,-3739.36,-3747.96,-3801.93,-3811.88,-3835.84,-3901.08,-4015.4,-4081.24,-4100.74,-4148.01,-4203.45,-4246.24,-4293.2,-4362.96,-4413.78,-4484.2,-4505.59,-4540.42,-4565.97,-4606.27,-4661.99,-4702.22,-4731.01,-4752.03,-4759.17,-4762.2,-4781.94,-4781.94,-4790.93,-4811.79,-4819.03,-4889.51,-4898.05,-4909.94,-4911.57,-4911.57,-4955.47,-4957.21,-4982.78,-5013.18,-5018.53,-5084.95,-5125.61,-5152.66,-5178.93,-5209.51,-5225.05,-5242.92,-5273.86,-5287.91,-5379.6,-5397.93,-5410.81,-5417.8,-5464.55,-5470.78,-5471.65,-5508.61,-5526.78,-5555.17,-5602.49,-5613.35,-5622.53,-5622.53,-5622.53,-5636.27,-5685.43,-5685.87,-5693.95,-5706.66,-5713.58,-5713.58,-5716.02,-5720.59,-5720.59,-5731.65,-5745.59,-5745.59,-5765.11,-5772.75,-5772.75,-5790.45,-5807.24,-5827.38,-5879.44,-5880.92
DE,F9,0.27,434.61,429.05,418.43,414.01,407.31,402.74,397.35,390.14,386.56,376.37,371.95,364.43,360.5,358.18,354.4,344.74,341.95,336.78,330.01,329.33,326.23,322.88,319.75,316.85,314.27,310.07,308.99,305.74,299.78,297.48,295.54,291.28,285.22,284.08,282.77,280.29,278.26,277.15,273.67,271.01,269.03,267.28,262.07,261.31,258.97,258.06,257.52,255.19,253.32,250.8,250.29,249.22,247.74,244.85,242.93,242.05,239.74,237.09,236.42,236.09,234.33,233.6,232.22,230.94,228.92,228.48,227.26,224.92,224.22,224.22,223.47,223.34,220.31,217.46,215.16,214.19,214.19,213.8,212.63,212.39,211.2,210.24,208.79,205.93,205.93,205.86,205.45,205.3,205.18,204.45,202.87,202.51,202.09,201.48,200.61,199.6,199.34,199.05,198.47,198.38
DE,F10,0.26,20.55,20.53,20.52,20.49,20.44,20.39,20.37,20.33,20.31,20.27,20.24,20.19,20.13,20.08,20.02,19.95,19.87,19.8,19.76,19.65,19.58,19.53,19.47,19.37,19.33,19.24,19.18,19.12,19.04,18.87,18.79,18.74,18.66,18.58,18.48,18.34,18.29,18.18,18.08,17.99,17.86,17.75,17.7,17.56,17.51,17.44,17.36,17.23,17.11,16.94,16.84,16.68,16.63,16.5,16.39,16.22,16.06,15.96,15.86,15.71,15.56,15.39,15.16,14.9,14.77,14.7,14.65,14.61,14.34,14.11,14.01,13.85,13.78,13.72,13.64,13.39,13.31,13.19,13.07,12.88,12.81,12.67,12.53,12.37,12.28,12.06,11.88,11.76,11.64,11.53,11.43,11.32,11.11,11.01,10.92,10.85,10.71,10.58,10.45,10.34
