Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
DE,F1,0.17,64918.01,64539.88,63400.07,61568.41,61131.87,60071.13,58511.75,55825.91,54205.84,52120.24,50392.53,48743.08,45723.12,44697.91,42651.72,41689.46,39855.94,36965.34,34844.99,32753.8,31603.71,30841.7,30300.54,28650.91,27393.25,26425.42,25714.63,24799.76,23482.11,22605.95,21873.0,21033.02,19903.71,18986.34,18315.41,17735.8,16737.49,15561.8,15189.31,14908.0,14490.4,13999.84,13287.71,12556.16,11883.96,11377.12,11081.41,10574.12,10322.18,9952.11,9541.94,9040.69,8769.99,8516.13,8168.59,7846.33,7677.3,7512.98,7213.86,6956.5,6755.87,6451.77,6120.89,5901.01,5614.66,5314.04,5037.84,4742.79,4525.25,4375.62,4279.25,4053.49,3962.22,3807.91,3622.67,3502.99,3379.16,3338.79,3139.83,3098.63,2924.09,2847.7,2758.55,2614.61,2529.8,2467.02,2372.85,2267.91,2196.73,2125.76,2055.08,1948.06,1871.5,1781.86,1730.2,1660.47,1627.14,1557.0,1438.67,1377.56
DE,F2,0.18,6817133578409.95,4029059060742.88,1279079663974.86,70534572217.22,38518122794.94,22786280349.68,10046643901.1,6275026392.73,796204433.14,99531027.42,46971074.01,29381852.98,1807478.91,1795713.94,981387.43,293920.61,35842.7,18227.15,9082.28,6030.65,3661.7,3317.49,3315.47,3263.59,1008.94,1007.99,849.64,629.98,626.07,208.48,195.19,194.62,83.53,70.75,69.53,68.02,65.89,64.4,63.53,61.95,60.59,57.55,55.43,53.87,53.46,52.43,52.08,50.86,49.82,48.09,47.52,46.77,45.61,44.5,43.94,43.32,42.48,41.7,40.74,38.91,37.82,37.37,36.63,36.27,35.59,35.15,34.31,33.48,33.01,32.34,31.93,31.05,30.49,30.07,29.34,28.05,27.27,26.75,26.11,25.67,24.96,24.3,23.53,23.35,22.9,21.85,21.49,21.14,20.93,20.64,20.33,19.91,19.1,18.63,18.37,17.74,17.35,16.76,16.15,15.88
DE,F3,0.46,112520.26,104638.93,99518.55,93178.72,91309.96,89256.38,86641.98,83075.72,82302.88,81702.79,80818.13,79964.54,79835.04,79372.99,77964.08,76367.21,73726.33,71809.14,70074.98,70074.98,68882.52,68882.52,68162.34,67921.98,67469.61,67330.66,67250.42,66221.93,66046.44,66012.98,66012.98,65962.89,65901.38,65508.08,65319.51,65319.51,65273.87,65068.5,65068.5,65068.5,64745.46,64268.44,64056.91,63392.58,63385.62,63385.62,63385.62,63385.62,62737.54,62737.54,62609.98,62609.98,62101.94,61975.28,61975.28,61975.28,61975.28,61975.28,61975.28,61975.28,61454.65,61449.36,61449.36,60786.99,60695.3,60361.51,59490.03,59489.22,58980.33,58980.33,58980.33,58980.33,58396.86,58271.2,56465.94,56465.94,56465.94,56325.84,56258.5,56258.5,55723.11,55723.11,55571.6,55571.6,55571.6,55535.52,55506.18,55112.78,54559.32,53939.32,53939.32,53671.37,53582.79,53129.4,53129.4,53129.4,52867.55,52706.68,52706.68,52706.68
DE,F4,0.18,86.42,86.33,85.76,85.76,85.64,85.46,85.42,85.42,85.4,85.28,84.44,84.14,83.85,83.81,83.55,83.4,83.33,83.18,82.92,82.92,82.62,82.62,82.54,82.32,82.32,81.94,81.9,81.26,81.19,80.97,80.61,80.4,79.85,79.75,79.73,79.36,78.88,78.61,78.44,78.17,77.6,77.36,77.15,76.87,76.82,76.57,76.04,76.04,75.44,75.4,75.4,75.19,75.18,74.5,74.37,74.22,73.84,73.5,73.49,73.49,73.49,73.17,73.02,72.68,72.68,72.41,72.03,72.03,71.99,71.86,71.86,71.51,71.15,71.07,70.69,70.44,70.44,70.4,70.31,70.31,70.27,69.87,69.59,69.46,69.46,69.24,68.98,68.36,68.36,68.11,67.82,67.29,67.29,67.02,66.3,66.21,66.01,65.91,65.84,65.84
GA,F1,0.12,69316.08,66817.26,64799.71,61883.19,59685.21,58351.74,56407.47,54147.91,52489.89,50938.94,49188.21,48351.22,46564.34,45189.52,44113.31,42721.5,42110.1,41170.51,40317.98,39176.52,38622.6,38061.42,37318.92,36940.69,35968.27,35190.93,34889.53,34072.37,33659.08,33278.22,33007.57,32580.59,32141.1,31527.25,30848.33,30557.26,30310.71,29831.31,29573.22,29175.23,28835.26,28118.32,27333.43,26903.68,26494.2,26195.82,25863.81,25769.72,25560.19,25305.09,25037.52,24602.22,24515.09,24354.2,24042.76,23781.68,23396.3,23089.63,22881.65,22722.31,22293.05,22072.37,21716.82,21680.15,21457.61,21406.45,21002.83,20775.28,20588.65,20466.41,20271.09,19945.13,19723.42,19356.12,19188.07,18870.62,18835.03,18700.0,18525.92,18357.02,18267.18,18152.63,17993.85,17835.96,17512.11,17230.67,17150.76,16898.62,16644.4,16465.02,16335.87,16261.6,16116.4,15987.91,15887.45,15787.6,15565.73,15325.42,15241.36,15224.51
GA,F2,0.15,37071154784898.58,19504093525884.21,7112959487609.82,820883691013.0,771476206996.06,387425651415.12,358056039032.82,152541673695.14,76610915572.46,60135968684.57,53314795791.53,16200846324.09,4308437476.14,3637939087.97,596390088.8,363139609.77,316590760.04,249924362.69,192015910.89,149207915.52,145892963.42,28314147.96,16972786.37,16748319.53,16737945.0,3344537.61,2012729.84,1584638.85,909185.6,866089.46,843961.51,833254.98,832538.23,794549.48,722046.54,717090.73,692301.04,311181.76,311076.55,281457.24,183765.71,183484.17,181502.42,167693.93,161337.63,148390.36,99924.31,97681.02,87286.75,86168.45,85991.06,85911.88,85866.29,85840.6,85836.48,85817.38,46368.41,46364.2,46362.39,18648.44,18632.45,2524.45,2524.1,2391.91,2375.72,2373.88,1581.03,1580.75,1456.64,1174.61,1174.17,604.1,602.67,601.47,556.01,232.67,232.43,225.23,223.44,223.13,221.38,221.03,221.03,219.59,216.78,216.5,215.6,215.44,213.94,81.59,81.59,81.59,77.22,76.76,76.75,76.56,76.18,75.78,68.98,68.65
GA,F3,0.48,143418.52,132705.61,110791.43,104717.77,94596.11,85182.13,83944.71,81055.26,79306.83,77682.48,73225.85,70661.5,70060.4,68619.19,66692.15,65396.34,64881.46,63887.22,62699.29,60818.81,60217.31,58987.75,56769.46,56314.87,55376.47,53789.69,52983.58,52275.02,51476.37,50622.31,49819.33,49690.65,49254.52,48959.35,48905.37,48071.49,47566.65,47258.43,46984.06,46718.06,46423.14,45791.99,45380.59,45006.35,44928.85,43812.44,43514.68,43259.96,42843.1,42322.33,41888.23,41509.12,41181.54,40490.98,39924.09,39549.85,39549.85,39203.45,38901.12,38620.25,38124.87,37762.06,37573.46,37342.81,37339.82,37280.37,37161.49,36477.4,36221.44,36208.2,35938.68,35890.36,35635.76,35488.09,35233.09,35117.12,35117.12,34902.91,34733.82,34706.18,34446.37,34114.22,33920.41,33742.18,33681.46,33665.95,33378.59,33341.8,33210.74,32651.62,32630.72,32630.15,32594.22,32400.9,32354.81,32246.16,32163.96,32144.75,32144.75,32144.75
GA,F4,0.12,87.78,86.77,86.3,85.61,84.84,84.07,83.42,82.96,82.75,82.4,82.31,81.81,81.3,81.04,80.76,80.42,80.19,79.88,79.77,79.51,78.9,78.65,78.57,77.74,77.54,77.16,77.12,76.99,76.37,76.13,75.9,75.88,75.44,75.0,74.46,74.37,74.03,73.79,73.75,73.53,73.25,73.23,72.93,72.84,72.79,72.27,72.23,72.09,72.03,71.72,71.43,71.37,71.27,71.19,70.53,70.44,70.29,70.18,70.07,69.92,69.89,69.8,69.59,69.42,69.35,69.26,69.26,69.19,69.09,68.89,68.89,68.74,68.13,67.93,67.87,67.87,67.75,67.66,67.66,67.66,67.49,67.36,67.28,67.28,67.27,67.14,67.08,67.07,67.07,66.79,66.63,66.58,66.56,66.41,66.34,66.23,66.02,65.87,65.59,65.56
PSO,F1,0.47,67310.52,67142.4,66749.25,66076.58,65182.86,64169.28,63124.26,62072.85,61043.47,59984.27,58990.47,57886.84,56732.76,55586.57,54503.25,53397.12,52302.2,51151.56,50037.87,48934.4,47894.29,46817.46,45687.09,44568.09,43470.39,42380.68,41291.58,40255.65,39166.72,38158.23,37130.25,36111.49,35107.49,34100.92,33136.93,32163.53,31197.68,30218.48,29311.07,28464.85,27563.99,26640.48,25830.36,24992.31,24143.96,23318.82,22533.28,21791.72,21058.93,20337.06,19622.0,18857.92,18163.84,17498.68,16838.24,16172.98,15548.28,14936.61,14346.62,13769.35,13196.81,12624.61,12060.99,11577.87,11053.77,10544.65,10059.4,9596.5,9136.37,8697.15,8275.69,7850.2,7436.46,7058.18,6672.07,6331.84,5969.5,5657.46,5312.06,5006.08,4723.9,4442.04,4179.3,3929.49,3699.93,3489.66,3292.14,3095.29,2910.95,2752.48,2596.13,2457.2,2333.64,2224.76,2116.08,2011.29,1922.83,1844.82,1774.23,1716.99
PSO,F2,0.51,20090101887411.3,181777520969.19,7941522358.66,29032164.22,1698720.16,48011.83,2812.01,70.54,37.79,31.75,28.99,27.71,26.28,24.96,23.52,22.6,21.36,20.35,19.57,18.66,17.55,16.96,16.42,15.73,15.14,14.57,14.12,13.59,13.35,12.99,12.5,12.09,11.82,11.5,11.22,10.95,10.57,10.32,9.94,9.56,9.28,9.16,9.02,8.86,8.68,8.51,8.33,7.98,7.77,7.56,7.4,7.23,7.14,7.07,6.87,6.67,6.46,6.31,6.11,5.91,5.82,5.69,5.56,5.43,5.33,5.19,5.03,4.87,4.7,4.62,4.5,4.42,4.37,4.31,4.1,4.06,4.02,3.9,3.81,3.73,3.67,3.53,3.39,3.3,3.2,3.15,3.08,3.02,2.91,2.82,2.73,2.68,2.61,2.52,2.42,2.35,2.3,2.19,2.12,2.06
