Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
DE,F1,0.1107017993927002,69902.0144062915,69902.0144062915,69902.0144062915,69902.0144062915,69902.0144062915,69902.0144062915,69902.0144062915,61176.075604704485,61176.075604704485,52920.305152268214,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,36895.47828654469,31160.930589713505,31160.930589713505,31160.930589713505,29021.655322142586,29021.655322142586,28958.923669514406,20055.90984220371,20055.90984220371,20055.90984220371,20055.90984220371,20055.90984220371,19408.377540651025,19408.377540651025,19408.377540651025,16188.538158864496,16188.538158864496,16188.538158864496,16188.538158864496,16188.538158864496,16188.538158864496,16188.538158864496,12362.424874825769,12362.424874825769,12362.424874825769,12362.424874825769,12362.424874825769,10175.197993190735,10175.197993190735,10175.197993190735
DE,F1,0.09278702735900879,75735.55591853092,65558.85580246626,65558.85580246626,65558.85580246626,59337.418409293066,59337.418409293066,50218.263828402065,50218.263828402065,42049.89822933979,42049.89822933979,40130.80703939297,40130.80703939297,40130.80703939297,40130.80703939297,40130.80703939297,35407.028418363225,34559.25908746019,34559.25908746019,30902.672245089623,27610.455942827008,27610.455942827008,27610.455942827008,24724.691741967526,18117.505284994688,18117.505284994688,18117.505284994688,18117.505284994688,18117.505284994688,18117.505284994688,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,12378.921614200377,11832.213525908204,10575.993359710394,10223.898582257823,10223.898582257823,7666.968653592767,7666.968653592767,7666.968653592767,7666.968653592767,7666.968653592767,7666.968653592767,7666.968653592767
DE,F1,0.10372662544250488,76659.69475516901,73787.38525902954,63982.301580264786,63982.301580264786,63982.301580264786,63982.301580264786,63982.301580264786,63982.301580264786,63757.0157464519,60814.05037503536,60397.60305078472,49626.84778676475,49626.84778676475,49626.84778676475,40452.44977931627,38204.23870138395,38204.23870138395,36622.591313486344,36622.591313486344,36622.591313486344,34003.410073944564,34003.410073944564,33838.88959301195,33838.88959301195,33838.88959301195,33838.88959301195,30484.073691068552,28149.126815135533,28149.126815135533,18162.66680531815,18162.66680531815,18162.66680531815,18162.66680531815,18162.66680531815,18162.66680531815,18162.66680531815,18162.66680531815,14501.512202519158,14501.512202519158,14501.512202519158,14501.512202519158,14501.512202519158,14501.512202519158,10978.134999083133,10978.134999083133,8601.597838144595,8601.597838144595,8601.597838144595,8601.597838144595,8601.597838144595
DE,F1,0.09372496604919434,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,47846.4479427204,41044.77043592188,41044.77043592188,37352.46362619802,33014.91816330982,33014.91816330982,33014.91816330982,33014.91816330982,33014.91816330982,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,21406.865187458294,20199.906504968436,20199.906504968436,20199.906504968436,13936.917478595127,13936.917478595127,13936.917478595127,13936.917478595127,13936.917478595127,13936.917478595127,13936.917478595127,13936.917478595127,13295.883209177677,10482.314986521522,10482.314986521522,10482.314986521522,9756.269468834897,8228.661909810302
DE,F1,0.11726045608520508,61276.52384501697,61276.52384501697,57360.46298638862,57360.46298638862,57360.46298638862,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,44088.04730654671,41355.50739001397,41355.50739001397,41355.50739001397,40153.18799149018,35481.90942489626,33784.515836137645,33784.515836137645,30877.00549001048,26273.64548927384,16025.496239176062,16025.496239176062,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,15264.291392510004,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11124.153519030073,11007.435059912998,11007.435059912998,10616.918313353935
DE,F1,0.09973263740539551,72678.28517975756,72678.28517975756,72678.28517975756,72678.28517975756,66383.1033992329,62668.93959252817,55826.085883134314,44014.50037399278,44014.50037399278,42351.108161358716,37018.97140030562,37018.97140030562,37018.97140030562,37018.97140030562,37018.97140030562,37018.97140030562,29439.453778513016,29439.453778513016,29439.453778513016,28181.907638425113,26012.508856119926,26012.508856119926,26012.508856119926,22816.274672697124,22816.274672697124,22816.274672697124,22816.274672697124,22816.274672697124,20069.78434638723,20069.78434638723,20069.78434638723,16730.863528322385,13381.458835685478,13381.458835685478,13381.458835685478,13381.458835685478,13381.458835685478,13381.458835685478,12708.14943424822,12708.14943424822,12708.14943424822,12708.14943424822,12708.14943424822,12706.834163915402,10326.20556544593,9310.604321558736,9310.604321558736,8956.320985687089,8793.056105156127,7862.774116329765
DE,F1,0.09776782989501953,60841.62636970636,60841.62636970636,60841.62636970636,60841.62636970636,60841.62636970636,52427.70040003467,52427.70040003467,37548.32866339175,37548.32866339175,37548.32866339175,37548.32866339175,37548.32866339175,37548.32866339175,36785.88872500182,36785.88872500182,36785.88872500182,32760.48780062207,32760.48780062207,32760.48780062207,32760.48780062207,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,21869.323616399655,16048.318744252641,16048.318744252641,16048.318744252641,14677.293089361927,14677.293089361927,14677.293089361927,11899.541529801523,11899.541529801523,11899.541529801523,11273.179688807908,11273.179688807908,11273.179688807908,11273.179688807908,11273.179688807908,11273.179688807908,9924.292838410902,9924.292838410902,9924.292838410902,9924.292838410902,9924.292838410902,9241.502344704335
DE,F1,0.09677314758300781,68158.79616892259,68158.79616892259,68158.79616892259,68158.79616892259,68158.79616892259,49288.17660225468,49288.17660225468,49288.17660225468,49288.17660225468,49288.17660225468,46256.152449985915,46256.152449985915,46256.152449985915,43876.84134495063,40371.409765728415,40371.409765728415,37147.20727201351,37147.20727201351,37147.20727201351,33376.03447453052,32926.05553756848,32926.05553756848,32465.782511697907,31677.363741592653,29391.53693160866,27337.23246508333,27337.23246508333,20600.055504549935,20600.055504549935,20600.055504549935,20600.055504549935,18537.659629181002,17653.51900722424,15618.488223496915,15618.488223496915,13627.88803093439,13627.88803093439,13627.88803093439,13627.88803093439,13627.88803093439,13627.88803093439,13627.88803093439,13627.88803093439,10260.209442838448,10260.209442838448,10260.209442838448,9338.972079763556,9267.877278903214,9267.877278903214,9267.877278903214
DE,F1,0.11070442199707031,71704.79784974759,71704.79784974759,71704.79784974759,62473.84649200387,62473.84649200387,62473.84649200387,62473.84649200387,62473.84649200387,62473.84649200387,56492.52976103008,56492.52976103008,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,38701.03778131685,31520.408987567564,31339.73577009657,30245.001684207837,30245.001684207837,28890.32835817068,25315.727696089845,22607.273215487225,21361.14051184192,21361.14051184192,17372.878925721343,17372.878925721343,17372.878925721343,17372.878925721343,17372.878925721343,17372.878925721343,13566.001126345247,13566.001126345247,13566.001126345247,13566.001126345247,13566.001126345247,13566.001126345247,9707.437998188525,9707.437998188525,9707.437998188525,9707.437998188525,9707.437998188525
DE,F1,0.0967400074005127,55382.1835471083,55382.1835471083,55382.1835471083,55382.1835471083,55382.1835471083,51716.11658010428,51716.11658010428,51716.11658010428,51716.11658010428,48315.02923144682,48315.02923144682,48315.02923144682,41292.04025981931,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,40680.86546601912,33184.15845566356,33184.15845566356,33184.15845566356,33184.15845566356,33184.15845566356,33184.15845566356,23719.86388937739,23719.86388937739,23719.86388937739,23719.86388937739,23719.86388937739,22033.046315220887,22033.046315220887,22033.046315220887,20323.2706096098,20323.2706096098,20323.2706096098,20323.2706096098,15999.785455441566,15999.785455441566,15999.785455441566,15999.785455441566,15999.785455441566,15999.785455441566,14937.423582441446,14937.423582441446,14937.423582441446,13114.003451268547
