Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100
PSO,F3,1.04,120328.39,120247.78,119953.95,119274.76,118522.39,117653.2,116633.35,115706.35,114748.53,113704.35,112551.67,111500.09,110665.74,109819.44,108799.86,107829.95,106557.59,105190.72,103905.74,102513.42,101246.06,100060.67,99026.47,97784.52,96378.62,95048.22,93521.29,92343.94,91439.14,90420.56,89335.13,88423.35,87493.53,86775.43,85935.46,84891.64,83875.09,82919.68,81617.82,80118.84,78602.11,77178.09,75741.43,74059.32,72558.82,70836.1,69130.36,67327.51,65836.01,64591.97,63641.47,62529.51,61435.2,60402.71,59369.51,58024.13,56616.2,55458.59,54179.47,52937.15,51738.67,50540.96,49510.58,48459.33,47380.29,46515.01,45808.01,45178.06,44181.08,43204.3,42529.66,41869.59,41156.23,40446.2,39548.35,38725.31,37575.13,36418.0,35148.83,33909.62,32858.25,31957.09,31287.66,30380.37,29440.36,28441.33,27461.26,26462.02,25581.28,24971.87,24432.97,24014.03,23643.62,23253.69,22741.76,22181.56,21642.75,21202.54,20673.08,20239.37
PSO,F4,0.55,88.0,87.74,87.39,86.91,86.33,85.75,85.08,84.31,83.51,82.69,81.85,80.97,80.12,79.26,78.38,77.53,76.69,75.81,74.92,74.05,73.14,72.23,71.32,70.44,69.56,68.66,67.77,66.88,66.01,65.13,64.23,63.33,62.43,61.55,60.67,59.77,58.87,57.98,57.07,56.18,55.29,54.4,53.52,52.61,51.73,50.82,49.94,49.03,48.13,47.21,46.3,45.39,44.51,43.59,42.7,41.8,40.9,40.01,39.13,38.27,37.41,36.54,35.69,34.81,33.99,33.18,32.36,31.56,30.69,29.85,29.04,28.23,27.42,26.58,25.76,24.96,24.13,23.36,22.58,21.79,21.09,20.36,19.67,19.01,18.38,17.77,17.13,16.52,15.96,15.43,14.9,14.36,13.87,13.4,13.0,12.59,12.2,11.81,11.45,11.12
PSO,F5,0.59,259339562.49,243329469.36,217222298.09,190961262.7,165785973.67,143507838.78,122142419.11,103966791.55,87333831.08,72411178.19,59868874.87,48880535.25,39657808.0,31959128.31,25491506.2,19967103.82,15509720.82,11815542.01,8879588.37,6548551.41,4746031.92,3396969.67,2387810.18,1590036.32,1046554.54,687932.63,447222.21,301615.2,205510.1,142955.83,103547.05,81777.19,65217.76,51614.17,41774.08,33913.64,27825.27,22832.81,19413.06,16192.21,13696.09,12175.78,9756.28,8175.05,6723.14,5915.26,5052.74,4495.58,4053.78,3626.25,3280.64,3011.12,2673.94,2426.58,2188.34,1982.76,1858.68,1645.08,1539.15,1463.38,1337.11,1284.06,1221.97,1143.62,1060.33,981.99,922.37,876.24,807.07,773.93,740.29,688.64,656.95,625.29,608.66,586.34,540.92,500.86,483.43,461.75,451.47,442.43,426.66,417.97,401.09,386.67,371.24,362.79,350.78,341.05,336.7,324.64,320.37,315.66,310.12,301.61,291.85,285.54,280.84,276.54
PSO,F6,0.7,68610.85,68430.51,68178.48,67731.77,67034.22,66147.83,65121.98,64011.97,62886.05,61670.91,60447.49,59189.41,57968.41,56704.24,55446.23,54199.23,52973.77,51800.61,50591.37,49424.33,48203.94,47054.61,45937.12,44789.52,43618.34,42489.59,41358.67,40188.96,39093.79,37998.55,36965.88,35896.09,34892.07,33898.99,32950.1,31978.23,31056.28,30131.0,29182.49,28326.74,27410.68,26521.39,25703.35,24871.86,24076.69,23240.19,22442.56,21659.69,20905.79,20205.67,19452.12,18710.33,17990.58,17322.59,16668.86,16025.5,15390.35,14777.44,14146.62,13543.26,13009.44,12437.79,11888.8,11348.01,10815.89,10315.89,9830.12,9318.96,8875.67,8413.39,7969.49,7569.54,7161.47,6770.43,6402.15,6038.07,5696.38,5361.78,5049.06,4725.26,4452.5,4170.9,3916.89,3676.34,3448.99,3227.12,3023.86,2832.51,2658.32,2494.42,2331.94,2179.8,2039.77,1909.15,1793.18,1694.58,1598.02,1514.37,1451.7,1385.46
PSO,F7,0.79,117.76,37.22,36.59,33.77,31.9,29.42,27.03,24.52,22.97,21.4,20.73,19.62,17.45,16.79,16.14,15.31,15.09,14.86,13.92,13.17,12.36,12.02,11.86,11.44,11.12,10.64,10.15,9.96,9.42,8.93,8.87,8.59,8.47,8.31,8.09,7.85,7.67,7.62,7.39,7.15,6.81,6.66,6.11,5.98,5.64,5.53,5.42,5.32,5.24,5.15,5.11,4.9,4.79,4.54,4.44,4.33,4.22,4.09,3.97,3.69,3.58,3.51,3.44,3.39,3.22,3.19,3.16,3.04,3.0,2.9,2.9,2.85,2.73,2.69,2.5,2.43,2.38,2.32,2.25,2.22,2.16,2.08,2.08,2.01,1.92,1.9,1.88,1.81,1.81,1.78,1.77,1.74,1.72,1.68,1.65,1.62,1.62,1.52,1.51,1.5
PSO,F8,0.56,-2248.01,-2248.01,-2249.82,-2251.9,-2254.4,-2257.43,-2260.04,-2265.36,-2269.7,-2275.34,-2280.62,-2286.07,-2291.41,-2296.8,-2301.39,-2306.04,-2310.2,-2313.8,-2317.97,-2323.04,-2326.99,-2330.48,-2333.39,-2336.29,-2340.37,-2343.96,-2346.7,-2350.21,-2353.18,-2355.71,-2359.31,-2364.75,-2369.28,-2372.91,-2375.66,-2377.65,-2380.61,-2383.71,-2386.21,-2389.28,-2392.28,-2394.84,-2397.83,-2400.96,-2403.74,-2406.64,-2409.14,-2414.54,-2419.14,-2422.37,-2425.11,-2428.55,-2432.71,-2438.33,-2443.02,-2447.01,-2450.43,-2453.36,-2457.8,-2462.02,-2465.21,-2468.1,-2470.87,-2474.31,-2477.19,-2480.13,-2483.77,-2489.14,-2493.02,-2495.54,-2497.87,-2501.86,-2507.05,-2510.71,-2513.07,-2514.59,-2516.27,-2517.99,-2520.49,-2522.62,-2526.19,-2528.78,-2532.1,-2534.27,-2536.32,-2538.76,-2540.69,-2542.77,-2544.13,-2545.4,-2547.25,-2548.58,-2549.4,-2550.23,-2550.73,-2551.4,-2552.56,-2553.5,-2555.35,-2557.44
PSO,F9,0.55,447.69,387.31,332.16,297.07,280.64,271.09,267.37,264.06,259.78,256.92,251.5,250.14,249.2,244.61,242.39,240.83,238.43,237.21,236.15,234.89,234.7,231.08,230.23,229.33,228.58,226.03,224.14,222.21,221.09,214.95,213.34,210.12,209.48,209.48,209.48,207.86,207.14,206.87,204.28,203.41,203.41,203.18,202.29,201.74,200.74,197.97,197.21,194.92,193.86,192.52,191.03,188.49,187.11,184.43,183.26,181.48,180.86,179.89,177.46,176.84,176.06,173.86,173.44,171.23,169.69,168.54,166.31,164.31,163.67,162.58,161.48,160.83,159.21,157.52,155.76,154.1,153.15,152.44,150.06,150.01,147.98,147.42,145.35,144.91,143.94,142.86,141.17,139.28,138.26,137.43,135.29,133.09,132.36,130.39,130.15,128.41,127.05,124.99,122.99,120.95
PSO,F10,0.61,20.69,20.66,20.59,20.51,20.41,20.28,20.14,19.99,19.82,19.64,19.45,19.27,19.0,18.68,18.38,18.05,17.72,17.33,16.91,16.5,16.01,15.48,14.93,14.35,13.78,13.08,12.52,11.84,11.16,10.6,10.09,9.66,9.33,9.02,8.74,8.45,8.21,7.99,7.74,7.46,7.29,7.07,6.88,6.7,6.53,6.36,6.14,6.01,5.87,5.75,5.6,5.44,5.29,5.13,5.01,4.85,4.74,4.6,4.52,4.45,4.31,4.25,4.15,4.03,3.89,3.84,3.79,3.72,3.66,3.6,3.52,3.48,3.42,3.38,3.33,3.29,3.25,3.2,3.16,3.1,3.0,2.94,2.92,2.91,2.85,2.82,2.79,2.75,2.7,2.67,2.65,2.59,2.55,2.49,2.44,2.39,2.33,2.32,2.29,2.24
PSO,F11,0.9,619.99,619.8,619.51,619.17,618.88,618.58,618.17,617.59,617.01,616.32,615.53,614.5,613.62,612.74,611.78,610.81,609.72,608.56,607.46,606.21,604.92,603.73,602.49,601.16,599.75,598.45,597.14,595.82,594.35,592.88,591.48,590.12,588.73,587.25,585.83,584.45,582.93,581.23,579.66,578.12,576.4,574.85,573.09,571.38,569.74,568.02,566.34,564.58,562.77,561.08,559.49,557.87,556.05,554.33,552.6,550.96,549.29,547.58,545.81,543.99,542.26,540.49,538.75,536.93,535.19,533.55,531.77,529.9,528.19,526.43,524.66,522.85,520.96,519.27,517.62,515.84,514.19,512.41,510.61,508.84,507.24,505.45,503.73,502.05,500.29,498.62,496.9,495.21,493.53,491.88,490.07,488.4,486.83,485.09,483.37,481.78,479.99,478.32,476.77,475.0
PSO,F12,0.71,549545069.65,539520890.49,508132473.14,466083141.15,418027122.38,371140698.04,330621012.53,293880289.01,258959775.79,228802063.59,200941160.37,174406146.64,150888486.46,128221445.91,109117248.16,91529810.47,76314255.64,63385309.07,51911200.96,42358482.03,34353939.25,27262507.74,21514595.36,16612958.08,12671042.81,9469850.49,7030775.76,5016314.62,3531141.38,2471689.49,1626708.12,1039298.29,639094.91,366013.06,193884.31,92397.33,37599.55,12957.27,3474.15,563.5,102.76,39.34,29.75,24.31,21.45,19.16,17.59,15.31,13.66,12.16,11.45,10.65,9.75,9.41,8.88,8.38,8.0,7.66,7.18,6.82,6.54,6.27,5.98,5.83,5.67,5.42,5.32,5.2,5.1,4.91,4.86,4.74,4.68,4.58,4.49,4.44,4.36,4.3,4.24,4.18,4.1,4.05,4.02,3.94,3.9,3.85,3.83,3.78,3.74,3.72,3.67,3.65,3.61,3.58,3.55,3.54,3.51,3.5,3.48,3.45
PSO,F13,0.74,1120543950.93,1087843596.53,1023785920.52,940153001.68,857172727.04,778303926.26,706059292.11,635871683.83,570232816.83,511950617.64,454948253.83,402851547.34,354235875.77,313304080.23,274411368.51,240540905.84,209923268.97,181405583.91,156986538.25,134680919.98,115023013.59,96542968.14,81045628.87,67207142.49,56142974.96,46107001.71,37192989.25,29639205.08,23565359.0,18336226.19,14116288.47,10731074.49,7995269.27,5800896.06,4196182.49,2967457.78,2035350.49,1350993.45,870909.97,540163.25,318772.68,173445.68,91408.18,46411.91,20975.13,9991.2,4368.75,1994.1,956.59,452.8,174.98,78.89,52.65,39.09,35.85,32.87,31.44,29.48,28.53,27.55,26.56,24.98,23.96,22.86,22.08,21.41,20.49,19.77,19.01,17.74,17.17,16.58,15.97,15.13,14.5,13.73,13.32,12.67,12.25,11.97,11.56,11.12,10.72,10.21,9.95,9.67,9.29,8.93,8.61,8.37,8.14,7.83,7.53,7.31,7.12,6.92,6.67,6.37,6.15,5.99
PSO,F14,1.97,198.71,170.85,122.77,72.58,59.34,50.26,36.18,17.76,7.89,6.67,6.15,5.9,5.86,4.77,4.47,4.34,4.05,4.03,3.65,3.12,2.53,2.42,2.37,2.37,2.15,1.97,1.93,1.77,1.74,1.67,1.63,1.57,1.41,1.4,1.4,1.4,1.39,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.32,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
PSO,F15,0.14,0.26,0.12,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSO,F16,0.05,2.1,0.1,-0.74,-0.88,-0.97,-0.98,-1.0,-1.01,-1.01,-1.02,-1.02,-1.02,-1.02,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03
PSO,F17,0.05,3.85,2.42,1.14,0.77,0.69,0.55,0.5,0.47,0.44,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
PSO,F18,0.07,79.86,23.94,9.28,8.15,4.97,4.8,4.16,3.77,3.66,3.48,3.37,3.3,3.24,3.19,3.13,3.1,3.09,3.08,3.07,3.07,3.06,3.05,3.05,3.04,3.04,3.03,3.03,3.03,3.03,3.03,3.02,3.02,3.02,3.02,3.02,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
